date,AI career,AI certification,AI skills,learn AI,machine learning bootcamp,prompt engineering jobs
2021-09-01,1.793178,1.418723,1.144613,2.748119,0.523864,0.0
2021-10-01,1.816233,1.013097,1.178421,2.76365,0.401553,0.0
2021-11-01,1.791333,1.56873,0.815859,2.812267,0.243417,0.0
2021-12-01,1.831115,1.551177,1.08961,2.758839,0.390233,0.0
2022-01-01,1.971147,1.186148,1.105176,3.069886,0.654216,0.0
2022-02-01,1.74009,1.372036,0.955365,3.418946,0.758573,0.0
2022-03-01,1.844637,1.389913,1.206356,2.643902,0.931762,0.0
2022-04-01,1.681694,1.347443,0.977492,2.416455,1.008497,0.0
2022-05-01,1.993784,1.199844,1.018836,2.775281,1.039262,0.0
2022-06-01,1.562016,1.177765,0.974039,3.522319,0.839425,0.0
2022-07-01,2.067392,1.295349,1.002337,2.574971,0.772975,0.0
2022-08-01,1.691808,1.513437,0.835559,3.258953,0.559671,0.0
2022-09-01,1.408122,1.398935,0.783992,3.269756,0.143872,0.0
2022-10-01,1.726133,1.232548,1.239176,2.644995,0.2591,0.0
2022-11-01,1.561065,1.440449,0.872956,2.959315,0.418579,0.0
2022-12-01,1.871491,0.781565,0.851291,3.255951,0.368546,0.0
2023-01-01,1.63081,1.578535,0.711702,2.803782,0.789989,0.305694
2023-02-01,1.742986,1.07598,0.999247,2.971454,1.079613,0.119377
2023-03-01,1.482133,1.412399,0.931253,2.973355,1.142622,0.143913
2023-04-01,1.886688,1.312414,1.522237,2.952399,0.967984,0.269857
2023-05-01,1.472436,1.332932,1.47852,3.197879,1.183417,0.002146
2023-06-01,1.750362,1.979711,1.210523,3.123836,0.8723,0.0
2023-07-01,2.454571,1.664698,1.898521,3.717391,0.649437,0.0
2023-08-01,2.561875,1.953719,1.711518,3.559059,0.45799,0.0
2023-09-01,2.561063,1.93629,1.491897,4.107148,0.394822,0.572806
2023-10-01,2.24182,2.174969,1.030598,3.527195,0.341773,0.0
2023-11-01,2.62449,2.155584,2.32887,4.491433,0.465755,0.165283
2023-12-01,2.746139,1.830113,1.442324,4.902181,0.574086,0.179445
2024-01-01,2.461973,2.658957,1.442767,3.770692,0.700457,0.322462
2024-02-01,3.513063,2.272165,2.322633,5.085241,0.915541,0.451234
2024-03-01,3.423728,1.996836,2.891743,5.728281,1.138405,0.488253
2024-04-01,3.13853,2.510688,2.687654,4.667809,1.142433,0.228614
2024-05-01,3.366418,3.380665,2.537549,6.451265,0.737073,0.341912
2024-06-01,3.579871,3.270122,2.679032,5.99345,0.466912,0.463031
2024-07-01,2.744448,2.907581,2.916712,5.565071,0.840148,0.389067
2024-08-01,3.671198,3.04114,3.027729,6.196762,0.344968,0.793714
2024-09-01,3.61556,3.194051,2.978183,6.847949,0.406478,0.605071
2024-10-01,3.605909,4.515806,3.051122,6.801827,0.224483,0.689717
2024-11-01,4.1219,3.855322,3.128541,7.404544,0.169895,0.712459
2024-12-01,5.397666,4.058556,2.944629,6.639485,0.631219,0.853043
2025-01-01,4.976445,4.581858,3.343395,7.740093,0.813873,0.694388
2025-02-01,4.480007,4.328617,2.737503,6.80189,0.763523,0.440071
2025-03-01,5.349914,4.222488,3.800525,8.153396,0.571151,0.822099
2025-04-01,6.085172,4.457065,3.45386,7.805895,0.918063,0.656135
2025-05-01,6.024589,4.74594,3.557405,8.274852,1.018578,0.726505
2025-06-01,5.684587,4.988521,4.602624,10.44544,0.628163,0.996955
2025-07-01,5.418488,5.779813,5.695227,10.731639,0.727504,1.176482
2025-08-01,6.626584,5.526808,5.6353,10.684029,0.547704,0.983974
2025-09-01,6.664305,6.328149,3.980345,9.336664,0.527086,1.094194
2025-10-01,7.335049,5.935787,4.661372,10.56416,0.417937,1.427455
2025-11-01,7.419293,6.3491,6.566667,12.731979,0.294232,1.191691
2025-12-01,8.078871,4.731347,5.158092,11.985429,0.729486,1.72242
2026-01-01,6.988351,7.752876,6.145526,15.153081,0.676221,1.375813
2026-02-01,9.001561,7.536311,7.237533,13.305765,0.845904,0.973345
2026-03-01,8.281826,8.568975,6.007759,13.580599,0.819817,1.54119
2026-04-01,10.517037,4.675661,7.50585,13.439793,0.933508,1.534093
2026-05-01,8.039001,10.63174,6.213514,14.627234,0.827087,1.785551
