date,AI proof career,AI taking my job,ChatGPT layoffs,automation job loss,jobs replaced by AI,will AI replace my job
2022-12-01,0.163343,0.130548,0.0,0.0,0.0,0.083533
2023-01-01,0.009642,0.0021,6.059941,0.114513,0.180987,0.054551
2023-02-01,0.0,0.068195,4.487851,0.024986,0.047087,0.147737
2023-03-01,0.0,0.0,6.732782,0.038249,0.174493,0.046714
2023-04-01,0.10194,0.032417,6.471825,0.12743,0.102856,0.0
2023-05-01,0.0,0.0,6.900859,0.218836,0.130625,0.047252
2023-06-01,0.032469,0.0097,0.120464,0.081375,0.295725,0.088696
2023-07-01,0.006836,0.059516,0.089704,0.096939,0.18513,0.065639
2023-08-01,0.0,0.0,0.009275,0.113138,0.231083,0.040582
2023-09-01,0.321592,0.219493,0.014126,0.129999,0.249651,0.085334
2023-10-01,0.095088,0.021034,0.077075,0.147547,0.284156,0.093544
2023-11-01,0.0,0.032367,0.024275,0.165812,0.320249,0.110573
2023-12-01,0.027968,0.160092,0.029583,0.184822,0.391323,0.051897
2024-01-01,0.0,0.135971,0.272466,0.301141,0.397495,0.0
2024-02-01,0.146416,0.132384,0.040687,0.225202,0.627169,0.011737
2024-03-01,0.038249,0.146648,0.046495,0.376291,0.482016,0.096521
2024-04-01,0.059165,0.098365,0.052479,0.268944,0.527217,0.0
2024-05-01,0.157123,0.113662,0.143785,0.292163,0.574497,0.029494
2024-06-01,0.234821,0.137325,0.064999,0.37833,0.841001,0.0
2024-07-01,0.129999,0.146651,0.074409,0.341483,0.70517,0.0023
2024-08-01,0.156588,0.261936,0.175157,0.367662,0.884578,0.102276
2024-09-01,0.184822,0.183108,0.085247,0.394994,0.786407,0.015288
2024-10-01,0.214802,0.202751,0.100359,0.442261,0.885675,0.003715
2024-11-01,0.511454,0.2234,0.252172,0.452787,1.040998,0.0
2024-12-01,0.341185,0.286401,0.107401,0.501423,0.984682,0.0597
2025-01-01,0.31633,0.267929,0.11524,0.515485,1.19993,0.051639
2025-02-01,0.492121,0.291921,0.123318,0.629679,1.110996,0.17306
2025-03-01,0.713234,0.341511,0.131642,0.583404,1.396549,0.0
2025-04-01,0.592751,0.368153,0.140219,0.638061,1.607545,0.017532
2025-05-01,0.483509,0.37153,0.149057,0.965371,1.343845,0.019951
2025-06-01,0.531958,0.400833,0.158165,0.696035,1.428713,0.126196
2025-07-01,0.773441,0.454844,0.16755,0.903314,1.735495,0.0
2025-08-01,0.638031,0.464023,0.177221,0.778992,1.847284,0.022322
2025-09-01,0.762608,0.498069,0.209008,0.823026,1.707483,0.048632
2025-10-01,0.873822,0.533859,0.288511,0.868858,1.809088,0.014929
2025-11-01,0.823026,0.571485,0.31357,0.91656,1.915371,0.0
2025-12-01,0.89247,0.642131,0.284304,0.990653,2.026545,0.015527
2026-01-01,0.966209,0.800159,0.230176,1.052665,2.142837,0.085891
2026-02-01,1.044507,0.782104,0.241754,1.071668,2.264481,0.0
2026-03-01,1.127646,0.742294,0.491118,1.127646,2.391724,0.010638
2026-04-01,1.215927,0.790606,0.367432,1.249241,2.524824,0.0
2026-05-01,1.554528,0.841396,0.278648,1.346538,2.699182,0.095604
